"idEntidad"|"voName"|"orden"|"nombreAtributoVO"|"titulo"|"descripcion"|"tipo"|"customValidations"|"idGrupoClasif"|"largoCaracteres"|"anchoWidget"|"soloLectura"|"obligatorio"|"visible"|"valorDefecto"|"filtro"|"valorFiltroImplicito"|"secOrderBy"|"generated"|"partOfUniqueKey"|"tableName"|"columnName"|"dataType"|"dataLength"|"dataPrecision"|"dataScale"|"nullable"|"columnId"|"lowValue"|"highValue"|"pkConstraintName"|"pkIndexName"|"pkPosition"|"fkConstraintName"|"fkIndexName"|"fkPosition"|"rConstraintName"|"rTableName"|"rColumnName"
"6000"|"Clasif"|"1"|"idClasif"|"Identif."|"Identificador único de la clasificación	"|"numero"||"0"|"6"|"3em"|"true"|"true"|"false"||"false"||"0"|"true"|"false"|"TA_SEFE_CLASIF"|"CLASIF_ID"|"NUMBER"|"22"|"6"|"0"|"false"|"1"|"1000"|"6101"|"SYS_C0014647"|"SYS_C0014647"|"1"|||"0"|||
"6000"|"Clasif"|"2"|"idEsquema"|"Id. Esquema Clasificación"|"Identificador único de esquema de clasificación"|"numero"||"0"|"6"|"3em"|"true"|"true"|"false"|"0"|"false"||"0"|"false"|"false"|"TA_SEFE_CLASIF"|"ESQ_DE_CLASIF_ID"|"NUMBER"|"22"|"6"|"0"|"false"|"2"|"0"|"0"|"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"3"|"secuencial"|"Sec."|"Secuencia de visualización"|"secuencia"||"0"|"6"|"1em"|"true"|"true"|"true"||"false"||"0"|"false"|"false"|"TA_SEFE_CLASIF"|"SECUENCIAL_DE_CLASIF_EN_ESQ"|"NUMBER"|"22"|"6"|"0"|"true"|"3"|"-1"|"499"|"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"4"|"idClasificaionRaiz"|"Id. Nivel Alto Clasificación"|"Identificador único del nivel más alto de la Clasificación"|"numero"||"0"|"6"|"3em"|"false"|"false"|"false"||"false"||"0"|"false"|"false"|"TA_SEFE_CLASIF"|"ESQ_DE_CLASIF_RAIZ_ID"|"NUMBER"|"22"|"6"|"0"|"true"|"4"|||"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"5"|"idGrupoClasificacion"|"Id. Grupo Clasificación	"|"Identificador único del grupo de Clasificación	"|"numero"||"0"|"6"|"3em"|"false"|"false"|"false"||"false"|"6000"|"0"|"false"|"true"|"TA_SEFE_CLASIF"|"GP_DE_CLASIF_ID"|"NUMBER"|"22"|"6"|"0"|"true"|"5"|"1000"|"6000"|"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"6"|"fechaEfectiva"|"Fecha Inicio Validez"|"La fecha en que una instancia de la entidad es válida."|"fecha"||"0"|"10"|"5em"|"true"|"true"|"false"|"sysdate"|"false"||"0"|"false"|"false"|"TA_SEFE_CLASIF"|"FECHA_EFECTIVA"|"DATE"|"7"|"0"|"0"|"true"|"6"|||"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"7"|"fechaFin"|"Vigente"|"Indica si el registro es vigente"|"vigencia"||"0"|"10"|"1em"|"false"|"false"|"false"||"false"||"0"|"false"|"false"|"TA_SEFE_CLASIF"|"FECHA_FIN"|"DATE"|"7"|"0"|"0"|"true"|"7"|||"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"8"|"codigo"|"Id Clasificación"|"Identificador en tabla de clasificaciones"|"texto"||"0"|"10"|"5em"|"false"|"true"|"true"||"false"||"0"|"false"|"false"|"TA_SEFE_CLASIF"|"CODIGO"|"VARCHAR2"|"10"|"0"|"0"|"true"|"8"|"0"|"prueba"|"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"9"|"nombreCorto"|"Nombre VO"|"Nombre de VO"|"texto"||"0"|"18"|"9em"|"false"|"true"|"true"||"false"||"0"|"false"|"false"|"TA_SEFE_CLASIF"|"NOMBRE_CORTO"|"VARCHAR2"|"18"|"0"|"0"|"true"|"9"|"CLP"|"prueba"|"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
"6000"|"Clasif"|"10"|"nombre"|"Nombre"|"Nombre de la entidad parametrizable"|"texto"||"0"|"32"|"16em"|"false"|"true"|"true"||"false"||"0"|"false"|"true"|"TA_SEFE_CLASIF"|"NOMBRE"|"VARCHAR2"|"32"|"0"|"0"|"true"|"10"|"Actividades Aux. de Intermediac"|"sufio"|"SYS_C0014647"|"SYS_C0014647"|"0"|||"0"|||
